team_name,city,season_year,games_played,wins,win_pct,avg_goals_for,avg_shots
Avalanche,Colorado,2000,72,52,72.2,3.43,29.18
Avalanche,Colorado,2001,74,45,60.8,2.65,27.07
Avalanche,Colorado,2002,69,42,60.9,3.19,28.26
Avalanche,Colorado,2003,69,40,58.0,3.0,29.49
Avalanche,Colorado,2005,82,43,52.4,3.41,29.71
Avalanche,Colorado,2006,82,44,53.7,3.26,31.74
Avalanche,Colorado,2007,82,44,53.7,2.73,28.65
Avalanche,Colorado,2008,82,32,39.0,2.32,28.77
Avalanche,Colorado,2009,82,43,52.4,2.89,27.9
Avalanche,Colorado,2010,82,30,36.6,2.7,29.2
Avalanche,Colorado,2011,82,41,50.0,2.43,31.51
Avalanche,Colorado,2012,48,16,33.3,2.38,29.48
Avalanche,Colorado,2013,89,55,61.8,2.98,29.16
Avalanche,Colorado,2014,82,39,47.6,2.55,27.88
Avalanche,Colorado,2015,82,39,47.6,2.59,28.65
Avalanche,Colorado,2016,82,22,26.8,2.01,28.1
Avalanche,Colorado,2017,88,45,51.1,3.07,29.63
Avalanche,Colorado,2018,376,180,47.9,3.12,32.69
Avalanche,Colorado,2019,340,204,60.0,3.48,32.99
Blackhawks,Chicago,2000,74,29,39.2,2.58,26.46
Blackhawks,Chicago,2001,69,41,59.4,2.7,27.07
Blackhawks,Chicago,2002,69,30,43.5,2.59,27.04
Blackhawks,Chicago,2003,71,20,28.2,2.35,28.52
Blackhawks,Chicago,2005,82,26,31.7,2.55,30.24
Blackhawks,Chicago,2006,82,31,37.8,2.38,26.84
Blackhawks,Chicago,2007,82,40,48.8,2.85,28.02
Blackhawks,Chicago,2008,82,46,56.1,3.17,32.72
Blackhawks,Chicago,2009,82,52,63.4,3.2,34.13
Blackhawks,Chicago,2010,89,47,52.8,3.08,32.06
Blackhawks,Chicago,2011,88,47,53.4,2.88,32.09
Blackhawks,Chicago,2012,71,52,73.2,3.0,32.13
Blackhawks,Chicago,2013,101,57,56.4,3.16,32.16
Blackhawks,Chicago,2014,105,64,61.0,2.75,33.33
Blackhawks,Chicago,2015,89,50,56.2,2.85,30.96
Blackhawks,Chicago,2016,86,50,58.1,2.83,30.64
Blackhawks,Chicago,2017,82,33,40.2,2.78,34.07
Blackhawks,Chicago,2018,328,144,43.9,3.26,32.55
Blackhawks,Chicago,2019,313,141,45.0,2.95,31.19
Blue Jackets,Columbus,2000,73,28,38.4,2.36,25.32
Blue Jackets,Columbus,2001,74,22,29.7,1.96,24.62
Blue Jackets,Columbus,2002,74,29,39.2,2.58,26.12
Blue Jackets,Columbus,2003,74,25,33.8,2.15,27.38
Blue Jackets,Columbus,2005,82,35,42.7,2.62,27.44
Blue Jackets,Columbus,2006,82,33,40.2,2.39,27.72
Blue Jackets,Columbus,2007,82,34,41.5,2.32,29.04
Blue Jackets,Columbus,2008,82,41,50.0,2.68,28.91
Blue Jackets,Columbus,2009,82,32,39.0,2.61,28.51
Blue Jackets,Columbus,2010,82,34,41.5,2.56,30.56
Blue Jackets,Columbus,2011,82,29,35.4,2.41,29.93
Blue Jackets,Columbus,2012,48,24,50.0,2.4,26.73
Blue Jackets,Columbus,2013,88,45,51.1,2.77,29.86
Blue Jackets,Columbus,2014,82,42,51.2,2.77,28.85
Blue Jackets,Columbus,2015,82,34,41.5,2.6,29.11
Blue Jackets,Columbus,2016,87,51,58.6,2.99,31.44
Blue Jackets,Columbus,2017,88,47,53.4,2.89,33.6
Blue Jackets,Columbus,2018,368,212,57.6,3.11,31.65
Blue Jackets,Columbus,2019,320,148,46.3,2.55,32.54
Blues,St Louis,2000,70,43,61.4,3.19,30.34
Blues,St Louis,2001,74,43,58.1,2.81,28.99
Blues,St Louis,2002,71,41,57.7,3.1,27.82
Blues,St Louis,2003,71,39,54.9,2.42,27.07
Blues,St Louis,2005,82,21,25.6,2.35,28.48
Blues,St Louis,2006,82,34,41.5,2.54,26.85
Blues,St Louis,2007,82,33,40.2,2.46,26.11
Blues,St Louis,2008,82,41,50.0,2.77,27.7
Blues,St Louis,2009,82,40,48.8,2.66,29.82
Blues,St Louis,2010,82,38,46.3,2.88,30.18
Blues,St Louis,2011,91,53,58.2,2.48,30.41
Blues,St Louis,2012,54,31,57.4,2.48,28.02
Blues,St Louis,2013,88,54,61.4,2.88,29.75
Blues,St Louis,2014,88,53,60.2,2.88,30.63
Blues,St Louis,2015,102,59,57.8,2.71,29.65
Blues,St Louis,2016,93,52,55.9,2.74,28.25
Blues,St Louis,2017,82,44,53.7,2.72,32.65
Blues,St Louis,2018,432,244,56.5,2.95,31.35
Blues,St Louis,2019,320,176,55.0,3.06,30.99
Bruins,Boston,2000,74,36,48.6,2.8,28.57
Bruins,Boston,2001,76,43,56.6,2.93,31.41
Bruins,Boston,2002,71,36,50.7,3.06,32.3
Bruins,Boston,2003,67,41,61.2,2.66,29.96
Bruins,Boston,2005,82,29,35.4,2.78,30.62
Bruins,Boston,2006,82,35,42.7,2.56,28.9
Bruins,Boston,2007,82,41,50.0,2.51,28.52
Bruins,Boston,2008,82,53,64.6,3.29,30.27
Bruins,Boston,2009,82,39,47.6,2.39,31.7
Bruins,Boston,2010,107,62,57.9,3.04,32.65
Bruins,Boston,2011,89,52,58.4,3.09,32.6
Bruins,Boston,2012,70,42,60.0,2.74,33.41
Bruins,Boston,2013,94,61,64.9,3.06,32.01
Bruins,Boston,2014,82,41,50.0,2.55,31.05
Bruins,Boston,2015,82,42,51.2,2.88,31.95
Bruins,Boston,2016,88,46,52.3,2.78,32.8
Bruins,Boston,2017,94,55,58.5,3.28,32.78
Bruins,Boston,2018,424,256,60.4,3.17,32.67
Bruins,Boston,2019,332,196,59.0,3.08,32.18
Canadiens,Montreal,2000,74,28,37.8,2.51,25.61
Canadiens,Montreal,2001,70,36,51.4,2.66,25.43
Canadiens,Montreal,2002,74,30,40.5,2.59,25.72
Canadiens,Montreal,2003,75,41,54.7,2.67,27.56
Canadiens,Montreal,2005,82,42,51.2,2.94,30.12
Canadiens,Montreal,2006,82,42,51.2,2.91,29.59
Canadiens,Montreal,2007,82,47,57.3,3.13,29.06
Canadiens,Montreal,2008,82,41,50.0,2.95,30.01
Canadiens,Montreal,2009,82,39,47.6,2.56,28.61
Canadiens,Montreal,2010,89,47,52.8,2.58,31.81
Canadiens,Montreal,2011,82,31,37.8,2.52,28.54
Canadiens,Montreal,2012,53,30,56.6,2.92,31.09
Canadiens,Montreal,2013,99,56,56.6,2.63,28.58
Canadiens,Montreal,2014,94,56,59.6,2.54,29.26
Canadiens,Montreal,2015,82,38,46.3,2.63,30.55
Canadiens,Montreal,2016,88,49,55.7,2.66,30.3
Canadiens,Montreal,2017,82,29,35.4,2.52,32.77
Canadiens,Montreal,2018,328,176,53.7,3.0,34.1
Canadiens,Montreal,2019,321,141,43.9,2.85,33.5
Canucks,Vancouver,2000,71,36,50.7,3.08,29.82
Canucks,Vancouver,2001,75,42,56.0,3.15,28.53
Canucks,Vancouver,2002,69,45,65.2,3.36,29.03
Canucks,Vancouver,2003,72,43,59.7,2.92,28.67
Canucks,Vancouver,2005,82,42,51.2,3.07,28.76
Canucks,Vancouver,2006,82,49,59.8,2.65,29.33
Canucks,Vancouver,2007,82,39,47.6,2.52,27.46
Canucks,Vancouver,2008,82,45,54.9,2.96,28.48
Canucks,Vancouver,2009,82,49,59.8,3.27,30.9
Canucks,Vancouver,2010,107,69,64.5,2.95,32.07
Canucks,Vancouver,2011,87,52,59.8,2.86,31.67
Canucks,Vancouver,2012,52,26,50.0,2.5,28.42
Canucks,Vancouver,2013,82,36,43.9,2.33,30.82
Canucks,Vancouver,2014,88,50,56.8,2.84,29.94
Canucks,Vancouver,2015,82,31,37.8,2.27,28.18
Canucks,Vancouver,2016,82,30,36.6,2.17,27.72
Canucks,Vancouver,2017,82,31,37.8,2.66,30.06
Canucks,Vancouver,2018,328,140,42.7,2.67,29.67
Canucks,Vancouver,2019,344,184,53.5,3.16,30.28
Capitals,Washington,2000,72,41,56.9,2.92,28.6
Capitals,Washington,2001,71,36,50.7,2.79,27.49
Capitals,Washington,2002,74,39,52.7,2.8,26.77
Capitals,Washington,2003,72,23,31.9,2.28,23.78
Capitals,Washington,2005,82,29,35.4,2.8,29.82
Capitals,Washington,2006,82,28,34.1,2.85,27.99
Capitals,Washington,2007,82,43,52.4,2.9,30.95
Capitals,Washington,2008,82,50,61.0,3.27,33.51
Capitals,Washington,2009,82,54,65.9,3.82,32.84
Capitals,Washington,2010,91,52,57.1,2.66,31.37
Capitals,Washington,2011,96,49,51.0,2.57,27.94
Capitals,Washington,2012,55,30,54.5,2.87,28.65
Capitals,Washington,2013,82,38,46.3,2.74,29.43
Capitals,Washington,2014,96,52,54.2,2.76,29.83
Capitals,Washington,2015,94,62,66.0,2.95,30.83
Capitals,Washington,2016,95,62,65.3,3.13,30.89
Capitals,Washington,2017,106,65,61.3,3.23,29.63
Capitals,Washington,2018,356,204,57.3,3.3,30.13
Capitals,Washington,2019,308,172,55.8,3.23,31.23
Coyotes,Phoenix,2000,65,35,53.8,2.82,25.55
Coyotes,Phoenix,2001,73,40,54.8,2.9,26.7
Coyotes,Phoenix,2002,71,31,43.7,2.49,27.85
Coyotes,Phoenix,2003,64,22,34.4,2.28,25.48
Coyotes,Phoenix,2005,82,38,46.3,2.95,28.01
Coyotes,Phoenix,2006,82,31,37.8,2.57,28.29
Coyotes,Phoenix,2007,82,38,46.3,2.55,30.49
Coyotes,Phoenix,2008,82,36,43.9,2.5,28.09
Coyotes,Phoenix,2009,82,50,61.0,2.57,30.54
Coyotes,Phoenix,2010,86,43,50.0,2.74,30.28
Coyotes,Phoenix,2011,98,51,52.0,2.52,29.14
Coyotes,Phoenix,2012,48,21,43.8,2.52,30.9
Coyotes,Phoenix,2013,82,37,45.1,2.56,30.48
Coyotes,Arizona,2014,82,24,29.3,2.01,29.18
Coyotes,Arizona,2015,82,35,42.7,2.54,27.63
Coyotes,Arizona,2016,82,30,36.6,2.33,27.82
Coyotes,Arizona,2017,82,29,35.4,2.51,29.88
Coyotes,Arizona,2018,328,156,47.6,2.55,30.74
Coyotes,Arizona,2019,316,148,46.8,2.68,31.05
Devils,New Jersey,2000,70,48,68.6,3.8,31.27
Devils,New Jersey,2001,73,41,56.2,2.53,29.37
Devils,New Jersey,2002,72,46,63.9,2.68,31.31
Devils,New Jersey,2003,70,43,61.4,2.66,29.41
Devils,New Jersey,2005,82,46,56.1,2.84,29.21
Devils,New Jersey,2006,82,49,59.8,2.51,28.7
Devils,New Jersey,2007,82,46,56.1,2.41,28.8
Devils,New Jersey,2008,82,51,62.2,2.9,32.9
Devils,New Jersey,2009,82,48,58.5,2.63,29.99
Devils,New Jersey,2010,82,38,46.3,2.09,28.59
Devils,New Jersey,2011,106,62,58.5,2.59,27.68
Devils,New Jersey,2012,48,19,39.6,2.29,28.4
Devils,New Jersey,2013,82,35,42.7,2.4,26.83
Devils,New Jersey,2014,82,32,39.0,2.15,24.5
Devils,New Jersey,2015,82,38,46.3,2.22,24.44
Devils,New Jersey,2016,82,28,34.1,2.2,27.79
Devils,New Jersey,2017,87,45,51.7,2.93,31.85
Devils,New Jersey,2018,328,124,37.8,2.67,30.34
Devils,New Jersey,2019,276,112,40.6,2.68,30.68
Ducks,Anaheim,2000,71,25,35.2,2.3,25.89
Ducks,Anaheim,2001,74,29,39.2,2.18,26.05
Ducks,Anaheim,2002,73,40,54.8,2.52,27.18
Ducks,Anaheim,2003,72,29,40.3,2.28,29.63
Ducks,Anaheim,2005,82,43,52.4,3.06,31.52
Ducks,Anaheim,2006,82,48,58.5,3.1,31.49
Ducks,Anaheim,2007,82,47,57.3,2.4,27.33
Ducks,Anaheim,2008,82,42,51.2,2.9,30.26
Ducks,Anaheim,2009,82,39,47.6,2.84,30.15
Ducks,Anaheim,2010,88,49,55.7,2.9,28.38
Ducks,Anaheim,2011,82,34,41.5,2.45,27.95
Ducks,Anaheim,2012,55,33,60.0,2.82,28.58
Ducks,Anaheim,2013,95,61,64.2,3.14,30.71
Ducks,Anaheim,2014,98,62,63.3,2.91,30.89
Ducks,Anaheim,2015,89,49,55.1,2.62,30.17
Ducks,Anaheim,2016,99,56,56.6,2.73,30.37
Ducks,Anaheim,2017,86,44,51.2,2.73,30.33
Ducks,Anaheim,2018,328,140,42.7,2.39,27.7
Ducks,Anaheim,2019,284,116,40.8,2.56,29.66
Flames,Calgary,2000,67,27,40.3,2.43,27.09
Flames,Calgary,2001,70,32,45.7,2.41,26.16
Flames,Calgary,2002,69,29,42.0,2.3,28.13
Flames,Calgary,2003,75,42,56.0,2.41,26.69
Flames,Calgary,2005,82,46,56.1,2.63,28.04
Flames,Calgary,2006,82,43,52.4,3.11,27.34
Flames,Calgary,2007,82,42,51.2,2.76,28.24
Flames,Calgary,2008,82,46,56.1,3.06,32.23
Flames,Calgary,2009,82,40,48.8,2.45,28.67
Flames,Calgary,2010,82,41,50.0,2.94,30.51
Flames,Calgary,2011,82,37,45.1,2.43,27.55
Flames,Calgary,2012,48,19,39.6,2.67,26.94
Flames,Calgary,2013,82,35,42.7,2.46,26.82
Flames,Calgary,2014,93,50,53.8,2.84,27.2
Flames,Calgary,2015,82,35,42.7,2.79,29.24
Flames,Calgary,2016,86,45,52.3,2.69,29.38
Flames,Calgary,2017,82,37,45.1,2.63,33.65
Flames,Calgary,2018,348,204,58.6,3.45,32.41
Flames,Calgary,2019,317,161,50.8,2.95,31.56
Flyers,Philadelphia,2000,71,43,60.6,3.06,29.55
Flyers,Philadelphia,2001,72,42,58.3,2.88,29.43
Flyers,Philadelphia,2002,69,45,65.2,2.71,30.35
Flyers,Philadelphia,2003,67,40,59.7,2.97,28.49
Flyers,Philadelphia,2005,82,45,54.9,3.21,31.12
Flyers,Philadelphia,2006,82,22,26.8,2.6,28.79
Flyers,Philadelphia,2007,82,42,51.2,2.99,28.77
Flyers,Philadelphia,2008,82,44,53.7,3.17,29.77
Flyers,Philadelphia,2009,82,41,50.0,2.83,31.57
Flyers,Philadelphia,2010,93,51,54.8,3.06,32.31
Flyers,Philadelphia,2011,93,52,55.9,3.24,31.61
Flyers,Philadelphia,2012,48,23,47.9,2.75,29.06
Flyers,Philadelphia,2013,89,45,50.6,2.8,29.99
Flyers,Philadelphia,2014,82,33,40.2,2.59,29.43
Flyers,Philadelphia,2015,88,43,48.9,2.47,30.65
Flyers,Philadelphia,2016,82,39,47.6,2.59,31.52
Flyers,Philadelphia,2017,88,44,50.0,3.0,31.59
Flyers,Philadelphia,2018,328,148,45.1,2.94,31.5
Flyers,Philadelphia,2019,340,204,60.0,3.12,30.58
Golden Knights,Vegas,2017,102,64,62.7,3.19,32.51
Golden Knights,Vegas,2018,356,184,51.7,3.04,34.37
Golden Knights,Vegas,2019,364,204,56.0,3.09,34.87
Hurricanes,Carolina,2000,73,38,52.1,2.66,27.08
Hurricanes,Carolina,2001,66,35,53.0,2.77,27.8
Hurricanes,Carolina,2002,71,22,31.0,2.1,29.27
Hurricanes,Carolina,2003,68,28,41.2,2.03,28.6
Hurricanes,Carolina,2005,82,52,63.4,3.49,31.13
Hurricanes,Carolina,2006,82,40,48.8,2.94,31.21
Hurricanes,Carolina,2007,82,43,52.4,3.05,32.55
Hurricanes,Carolina,2008,82,45,54.9,2.88,32.62
Hurricanes,Carolina,2009,82,35,42.7,2.76,29.29
Hurricanes,Carolina,2010,82,40,48.8,2.82,30.7
Hurricanes,Carolina,2011,82,33,40.2,2.59,30.46
Hurricanes,Carolina,2012,48,19,39.6,2.65,32.19
Hurricanes,Carolina,2013,82,36,43.9,2.5,31.23
Hurricanes,Carolina,2014,82,30,36.6,2.23,30.78
Hurricanes,Carolina,2015,82,35,42.7,2.39,29.89
Hurricanes,Carolina,2016,82,36,43.9,2.59,30.4
Hurricanes,Carolina,2017,82,36,43.9,2.74,33.91
Hurricanes,Carolina,2018,388,216,55.7,2.91,33.8
Hurricanes,Carolina,2019,301,165,54.8,3.15,32.72
Islanders,NY Islanders,2000,75,21,28.0,2.24,27.52
Islanders,NY Islanders,2001,74,42,56.8,2.92,27.66
Islanders,NY Islanders,2002,71,35,49.3,2.76,29.35
Islanders,NY Islanders,2003,71,38,53.5,2.96,28.06
Islanders,NY Islanders,2005,82,36,43.9,2.7,30.26
Islanders,NY Islanders,2006,82,40,48.8,2.93,29.99
Islanders,NY Islanders,2007,82,35,42.7,2.3,29.7
Islanders,NY Islanders,2008,82,26,31.7,2.41,28.94
Islanders,NY Islanders,2009,82,34,41.5,2.61,30.41
Islanders,NY Islanders,2010,82,30,36.6,2.74,29.38
Islanders,NY Islanders,2011,82,34,41.5,2.39,29.39
Islanders,NY Islanders,2012,54,26,48.1,2.81,31.15
Islanders,NY Islanders,2013,82,34,41.5,2.63,30.94
Islanders,NY Islanders,2014,89,50,56.2,2.92,33.37
