venue,season_year,home_games,home_wins,home_win_pct,avg_home_goals,avg_away_goals,home_advantage_uplift
Gaylord Entertainment Center,2001,33,17,51.52,2.52,2.33,1.52
Pengrowth Saddledome,2001,36,20,55.56,2.5,2.42,5.56
PPG Paints Arena,2019,70,46,65.71,3.51,2.63,15.71
PNC Arena,2019,66,38,57.58,3.3,2.7,7.58
BB&T Center,2019,70,34,48.57,3.43,3.31,-1.43
Wells Fargo Center,2019,68,48,70.59,3.53,2.09,20.59
Mosaic Stadium,2019,2,2,100.0,2.0,1.0,50.0
Capital One Arena,2018,90,54,60.0,3.44,2.69,10.0
KeyBank Center,2018,82,42,51.22,2.98,3.15,1.22
Madison Square Garden,2018,82,36,43.9,2.83,2.85,-6.1
Hartwall Arena,2018,4,0,0.0,2.0,4.0,-50.0
Pepsi Center,2017,43,29,67.44,3.49,2.44,17.44
CONSOL Energy Center,2015,54,35,64.81,3.2,2.54,14.81
Bridgestone Arena,2015,47,27,57.45,3.06,2.4,7.45
Rogers Arena,2017,41,16,39.02,2.9,3.41,-10.98
Nationwide Arena,2017,44,26,59.09,2.82,2.52,9.09
Bridgestone Arena,2016,52,33,63.46,3.17,2.31,13.46
TD Garden,2016,44,23,52.27,2.8,2.45,2.27
TD Garden,2015,40,17,42.5,2.75,3.1,-7.5
Rexall Place,2015,41,19,46.34,2.66,2.78,-3.66
STAPLES Center,2017,43,23,53.49,2.81,2.4,3.49
Nationwide Arena,2014,41,19,46.34,2.83,3.24,-3.66
Pepsi Center,2014,41,23,56.1,2.93,2.71,6.1
STAPLES Center,2014,41,25,60.98,2.83,2.12,10.98
Rogers Arena,2014,43,26,60.47,2.91,2.6,10.47
First Niagara Center,2013,41,13,31.71,2.17,2.98,-18.29
HP Pavilion at San Jose,2012,29,22,75.86,3.03,1.97,25.86
Prudential Center,2012,24,13,54.17,2.75,2.46,4.17
Scottrade Center,2012,27,17,62.96,2.41,2.11,12.96
Madison Square Garden,2013,53,27,50.94,2.45,2.21,0.94
HSBC Arena,2010,44,22,50.0,2.98,2.73,0.0
Wells Fargo Center,2010,47,24,51.06,3.15,2.77,1.06
Bridgestone Arena,2011,46,29,63.04,2.89,2.39,13.04
Rexall Place,2011,41,18,43.9,2.63,2.76,-6.1
Tampa Bay Times Forum,2011,26,15,57.69,3.15,3.23,7.69
CONSOL Energy Center,2011,44,30,68.18,3.68,2.66,18.18
Nassau Coliseum,2011,41,17,41.46,2.54,3.0,-8.54
TD Garden,2011,45,25,55.56,3.13,2.22,5.56
Ericsson Globe,2011,2,2,100.0,2.5,1.5,50.0
Nationwide Arena,2009,41,20,48.78,2.71,2.71,-1.22
Pepsi Center,2009,41,24,58.54,3.07,2.54,8.54
Staples Center,2009,41,22,53.66,3.1,2.73,3.66
Jobing.com Arena,2009,41,29,70.73,3.12,2.46,20.73
Sommet Center,2009,29,16,55.17,2.69,2.66,5.17
Madison Square Garden,2008,40,25,62.5,2.8,2.33,12.5
Scotiabank Place,2008,40,22,55.0,2.95,2.65,5.0
RBC Center,2008,41,26,63.41,2.85,2.59,13.41
O2 Czech Republic,2008,2,1,50.0,1.5,1.5,0.0
Scotiabank Place,2007,41,22,53.66,3.24,3.07,3.66
RBC Center,2007,41,24,58.54,3.41,2.95,8.54
Madison Square Garden,2007,41,25,60.98,2.59,2.2,10.98
TD Banknorth Garden,2006,41,18,43.9,2.68,3.46,-6.1
HP Pavilion at San Jose,2006,41,25,60.98,3.29,2.29,10.98
Scottrade Center,2006,41,18,43.9,2.68,2.98,-6.1
Glendale Arena,2006,4,1,25.0,1.75,3.25,-25.0
HSBC Arena,2002,36,18,50.0,2.89,2.72,0.0
Savvis Center,2002,37,23,62.16,3.54,2.62,12.16
HP Pavilion at San Jose,2003,34,24,70.59,2.91,1.97,20.59
MCI Center,2003,35,13,37.14,2.43,3.06,-12.86
Arrowhead Pond,2003,34,19,55.88,2.88,2.68,5.88
Glendale Arena,2003,34,11,32.35,2.44,3.53,-17.65
Staples Center,2005,41,26,63.41,2.95,2.93,13.41
Nationwide Arena,2005,41,23,56.1,2.95,3.2,6.1
Pepsi Center,2005,41,25,60.98,3.68,2.95,10.98
Nassau Coliseum,2000,40,12,30.0,2.38,3.53,-20.0
Ice Palace,2000,38,17,44.74,2.74,3.16,-5.26
First Union Center,2000,37,26,70.27,3.08,2.11,20.27
America West Arena,2001,38,27,71.05,3.55,2.32,21.05
Centre Molson,2001,35,21,60.0,2.6,2.14,10.0
Corel Centre,2001,38,21,55.26,2.82,2.39,5.26
Air Canada Centre,2001,35,24,68.57,3.34,2.29,18.57
Xcel Energy Center,2001,33,14,42.42,2.45,2.82,-7.58
United Center,2001,36,28,77.78,2.83,1.92,27.78
Mellon Arena,2001,37,16,43.24,2.73,3.11,-6.76
Madison Square Garden,2019,72,36,50.0,3.42,3.25,0.0
O2 Czech Republic,2019,2,2,100.0,4.0,3.0,50.0
KeyBank Center,2019,68,40,58.82,3.18,2.88,8.82
Capital One Arena,2019,66,36,54.55,3.42,3.18,4.55
PPG Paints Arena,2018,86,46,53.49,3.19,3.07,3.49
PNC Arena,2018,96,58,60.42,3.15,2.52,10.42
Wells Fargo Center,2018,80,36,45.0,2.93,3.3,-5.0
BB&T Center,2018,80,40,50.0,3.43,2.95,0.0
STAPLES Center,2015,44,26,59.09,2.57,2.39,9.09
STAPLES Center,2016,41,23,56.1,2.8,2.59,6.1
TD Garden,2017,47,31,65.96,3.7,2.64,15.96
Bridgestone Arena,2017,48,31,64.58,3.4,2.79,14.58
Rogers Arena,2016,41,18,43.9,2.17,2.8,-6.1
Nationwide Arena,2015,41,18,43.9,2.93,3.12,-6.1
Pepsi Center,2015,40,17,42.5,2.63,3.03,-7.5
Nationwide Arena,2016,43,29,67.44,3.23,2.23,17.44
Pepsi Center,2016,41,13,31.71,2.34,3.32,-18.29
Rogers Arena,2015,41,15,36.59,2.34,2.88,-13.41
Ericsson Globe,2017,2,1,50.0,3.5,3.5,0.0
TCF Bank Stadium,2015,1,1,100.0,6.0,1.0,50.0
BMO Field,2016,1,1,100.0,5.0,4.0,50.0
Heinz Field,2016,1,1,100.0,4.0,2.0,50.0
CONSOL Energy Center,2014,43,23,53.49,2.79,2.53,3.49
Rexall Place,2014,41,15,36.59,2.34,3.05,-13.41
Bridgestone Arena,2014,43,30,69.77,3.07,2.42,19.77
TD Garden,2014,41,24,58.54,2.68,2.24,8.54
Nassau Coliseum,2014,44,27,61.36,3.23,2.64,11.36
Honda Center,2013,48,33,68.75,3.4,2.38,18.75
Scotiabank Saddledome,2012,24,13,54.17,3.25,3.33,4.17
Xcel Energy Center,2013,47,31,65.96,2.74,2.11,15.96
Joe Louis Arena,2012,30,17,56.67,2.77,2.37,6.67
Air Canada Centre,2013,41,24,58.54,3.2,3.07,8.54
United Center,2013,50,34,68.0,3.48,2.4,18.0
Verizon Center,2013,41,21,51.22,2.9,2.85,1.22
MTS Centre,2013,41,18,43.9,3.05,3.12,-6.1
Centre Bell,2012,27,15,55.56,2.81,2.59,5.56
The Big House,2013,1,0,0.0,2.0,3.0,-50.0
American Airlines Center,2010,41,22,53.66,2.85,2.46,3.66
Jobing.com Arena,2011,50,26,52.0,2.6,2.5,2.0
Nationwide Arena,2011,41,17,41.46,2.59,2.85,-8.54
Staples Center,2011,48,27,56.25,2.42,1.88,6.25
Pepsi Center,2011,41,22,53.66,2.49,2.54,3.66
Rogers Arena,2011,44,27,61.36,3.05,2.45,11.36
McMahon Stadium,2010,1,1,100.0,4.0,0.0,50.0
Hartwall Areena,2010,2,1,50.0,2.5,2.5,0.0
TD Garden,2009,40,17,42.5,2.5,2.55,-7.5
Rexall Place,2009,41,18,43.9,2.9,3.22,-6.1
Nassau Coliseum,2009,41,23,56.1,3.05,2.78,6.1
Bridgestone Arena,2009,12,8,66.67,2.5,2.0,16.67
Verizon Center,2008,41,29,70.73,3.56,2.73,20.73
BankAtlantic Center,2008,41,22,53.66,2.78,2.56,3.66
Xcel Energy Center,2008,41,23,56.1,3.02,2.34,6.1
Honda Center,2008,41,20,48.78,3.02,2.9,-1.22
United Center,2008,40,24,60.0,3.4,2.48,10.0
Mellon Arena,2008,40,25,62.5,3.33,2.53,12.5
Air Canada Centre,2008,41,16,39.02,2.9,3.46,-10.98
Honda Center,2007,40,27,67.5,2.78,2.17,17.5
Mellon Arena,2007,41,26,63.41,3.32,2.37,13.41
Verizon Center,2007,41,23,56.1,3.1,2.68,6.1
Air Canada Centre,2007,41,18,43.9,2.95,3.59,-6.1
BankAtlantic Center,2007,41,18,43.9,2.68,2.78,-6.1
United Center,2007,41,23,56.1,3.12,2.49,6.1
Xcel Energy Center,2007,41,25,60.98,2.78,2.22,10.98
Continental Airlines Arena,2006,41,25,60.98,2.61,2.41,10.98
Philips Arena,2006,41,23,56.1,3.24,2.9,6.1
Centre Bell,2006,41,26,63.41,3.27,2.8,13.41
General Motors Place,2006,41,26,63.41,2.76,2.51,13.41
Joe Louis Arena,2006,41,29,70.73,3.54,2.12,20.73
St. Pete Times Forum,2006,41,22,53.66,2.9,2.85,3.66
Nashville Arena,2006,6,3,50.0,2.67,2.5,0.0
Pengrowth Saddledome,2002,31,14,45.16,2.39,2.9,-4.84
Gaylord Entertainment Center,2002,36,18,50.0,2.47,2.25,0.0
FleetCenter,2002,36,23,63.89,3.44,2.56,13.89
American Airlines Center,2002,35,28,80.0,3.37,1.77,30.0
Continental Airlines Arena,2003,36,22,61.11,2.67,2.11,11.11
Centre Bell,2003,37,23,62.16,2.68,2.24,12.16
St. Pete Times Forum,2003,37,24,64.86,3.16,2.35,14.86
Philips Arena,2003,37,18,48.65,2.62,2.78,-1.35
Joe Louis Arena,2003,37,30,81.08,3.57,1.95,31.08
General Motors Place,2003,34,21,61.76,3.06,2.59,11.76
Rexall Place,2005,41,20,48.78,3.17,3.12,-1.22
Nassau Coliseum,2005,41,20,48.78,2.78,3.37,-1.22
Nationwide Arena,2000,37,19,51.35,2.59,2.68,1.35
Staples Center,2000,33,20,60.61,3.58,2.7,10.61
Pepsi Center,2000,36,28,77.78,3.61,2.31,27.78
Skyreach Centre,2000,34,23,67.65,3.21,2.26,17.65
Entertainment and Sports Arena,2000,38,23,60.53,3.18,2.82,10.53
Madison Square Garden,2001,39,19,48.72,2.95,3.21,-1.28
Verizon Center                                                  ,2014,1,0,0.0,1.0,4.0,-50.0
Rogers Place,2019,216,101,46.76,2.98,3.12,-3.24
Amalie Arena,2019,66,42,63.64,3.85,2.73,13.64
Honda Center,2019,72,32,44.44,2.67,2.97,-5.56
United Center,2019,68,32,47.06,2.97,3.0,-2.94
Xcel Energy Center,2019,70,38,54.29,3.14,2.89,4.29
Little Caesars Arena,2018,82,34,41.46,2.88,3.17,-8.54
American Airlines Center,2018,94,54,57.45,2.85,2.3,7.45
Scandinavium,2018,2,2,100.0,5.0,2.0,50.0
Barclays Center,2018,44,24,54.55,3.0,2.41,4.55
PNC Arena,2017,41,19,46.34,2.68,2.98,-3.66
Barclays Center,2016,41,22,53.66,3.12,2.9,3.66
BB&T Center,2017,41,27,65.85,3.34,2.88,15.85
Barclays Center,2015,46,27,58.7,3.02,2.52,8.7
American Airlines Center,2015,48,31,64.58,3.23,2.67,14.58
Wells Fargo Center,2017,44,22,50.0,2.98,3.14,0.0
PPG Paints Arena,2017,47,32,68.09,3.57,2.68,18.09
American Airlines Center,2016,41,22,53.66,3.17,2.88,3.66
Coors Field,2015,1,0,0.0,3.0,5.0,-50.0
PNC Arena,2014,41,18,43.9,2.27,2.29,-6.1
Wells Fargo Center,2014,41,23,56.1,2.95,2.49,6.1
BB&T Center,2014,41,21,51.22,2.66,2.68,1.22
Honda Center,2012,28,18,64.29,3.0,2.57,14.29
Xcel Energy Center,2012,26,15,57.69,2.19,2.38,7.69
Scotiabank Saddledome,2013,41,19,46.34,2.73,2.93,-3.66
Air Canada Centre,2012,27,14,51.85,3.0,2.96,1.85
Verizon Center,2012,28,18,64.29,2.96,2.39,14.29
MTS Centre,2012,24,13,54.17,2.83,2.75,4.17
Centre Bell,2013,49,28,57.14,2.57,2.31,7.14
United Center,2012,37,29,78.38,3.19,2.16,28.38
Joe Louis Arena,2013,42,18,42.86,2.55,2.93,-7.14
Rogers Arena,2010,55,37,67.27,3.02,2.2,17.27
Nationwide Arena,2010,40,17,42.5,2.68,3.08,-7.5
American Airlines Center,2011,41,22,53.66,2.73,2.76,3.66
Staples Center,2010,44,25,56.82,2.77,2.55,6.82
Jobing.com Arena,2010,42,21,50.0,2.93,2.79,0.0
Pepsi Center,2010,41,16,39.02,2.93,3.66,-10.98
Heinz Field,2010,1,0,0.0,1.0,3.0,-50.0
Hartwall Areena,2011,1,1,100.0,4.0,1.0,50.0
Wachovia Center,2009,41,24,58.54,3.02,2.54,8.54
HSBC Arena,2009,41,25,60.98,3.05,2.34,10.98
Joe Louis Arena,2008,41,27,65.85,3.85,2.88,15.85
General Motors Place,2008,41,24,58.54,3.15,2.46,8.54
Centre Bell,2008,41,24,58.54,3.24,2.71,8.54
Philips Arena,2008,41,18,43.9,3.02,3.39,-6.1
St. Pete Times Forum,2008,40,12,30.0,2.6,3.45,-20.0
Centre Bell,2007,41,22,53.66,3.15,2.61,3.66
Philips Arena,2007,41,19,46.34,2.98,3.15,-3.66
St. Pete Times Forum,2007,41,20,48.78,2.95,2.88,-1.22
Joe Louis Arena,2007,41,29,70.73,3.22,2.27,20.73
General Motors Place,2007,41,21,51.22,2.78,2.51,1.22
O2 Arena,2007,2,2,100.0,4.0,1.0,50.0
Air Canada Centre,2006,41,21,51.22,3.1,3.12,1.22
Honda Center,2006,41,26,63.41,3.51,2.56,13.41
Mellon Arena,2006,41,26,63.41,3.32,2.54,13.41
Xcel Energy Center,2006,41,29,70.73,3.0,1.98,20.73
United Center,2006,41,17,41.46,2.15,2.61,-8.54
Verizon Center,2006,41,17,41.46,3.17,3.29,-8.54
BankAtlantic Center,2006,41,23,56.1,3.54,3.05,6.1
Staples Center,2002,39,19,48.72,2.69,2.67,-1.28
Skyreach Centre,2002,36,20,55.56,2.81,2.64,5.56
Pepsi Center,2002,33,21,63.64,3.39,2.33,13.64
Nationwide Arena,2002,36,20,55.56,2.78,2.47,5.56
Corel Centre,2003,36,23,63.89,3.39,2.03,13.89
Mellon Arena,2003,35,13,37.14,2.31,3.74,-12.86
Air Canada Centre,2003,38,22,57.89,2.82,2.55,7.89
Office Depot Center,2003,34,16,47.06,2.62,2.68,-2.94
United Center,2003,35,13,37.14,2.49,3.0,-12.86
Xcel Energy Center,2003,34,19,55.88,2.62,2.18,5.88
Savvis Center,2005,41,12,29.27,2.54,3.61,-20.73
HSBC Arena,2005,41,27,65.85,3.71,2.71,15.85
Wachovia Center,2005,41,22,53.66,3.39,3.34,3.66
Pengrowth Saddledome,2000,32,12,37.5,2.5,2.97,-12.5
FleetCenter,2000,36,21,58.33,3.03,2.75,8.33
Gaylord Entertainment Center,2000,34,16,47.06,2.18,2.47,-2.94
Arrowhead Pond,2001,36,15,41.67,2.33,2.56,-8.33
MCI Center,2001,35,21,60.0,3.09,2.69,10.0
T-Mobile Arena,2019,74,44,59.46,3.41,3.0,9.46
Scotiabank Saddledome,2019,66,32,48.48,3.12,3.39,-1.52
Centre Bell,2019,74,28,37.84,2.78,3.16,-12.16
Bell MTS Place,2019,72,38,52.78,2.94,2.72,2.78
Rogers Arena,2018,82,40,48.78,2.98,3.07,-1.22
Pepsi Center,2018,92,50,54.35,3.22,2.74,4.35
Nationwide Arena,2018,92,50,54.35,3.17,2.98,4.35
STAPLES Center,2018,82,34,41.46,2.68,3.17,-8.54
PNC Arena,2015,41,19,46.34,2.61,2.78,-3.66
American Airlines Center,2017,41,26,63.41,3.12,2.41,13.41
Wells Fargo Center,2016,41,25,60.98,3.0,2.56,10.98
Barclays Center,2017,41,19,46.34,3.41,3.73,-3.66
PNC Arena,2016,41,23,56.1,2.68,2.61,6.1
Wells Fargo Center,2015,44,24,54.55,2.5,2.43,4.55
Little Caesars Arena,2017,41,16,39.02,2.56,2.88,-10.98
BB&T Center,2015,44,26,59.09,3.05,2.52,9.09
PPG Paints Arena,2016,53,40,75.47,3.77,2.45,25.47
BB&T Center,2016,41,19,46.34,2.71,2.93,-3.66
Investors Group Field,2016,1,0,0.0,0.0,3.0,-50.0
Lansdowne Park,2017,1,1,100.0,3.0,0.0,50.0
American Airlines Center,2014,41,17,41.46,3.12,3.22,-8.54
First Niagara Center,2012,24,11,45.83,2.63,2.96,-4.17
SAP Center at San Jose,2013,45,31,68.89,3.29,2.24,18.89
Scottrade Center,2013,44,30,68.18,3.39,2.41,18.18
Canadian Tire Centre,2013,41,18,43.9,2.88,3.32,-6.1
Prudential Center,2013,40,21,52.5,2.55,2.13,2.5
Scotiabank Place,2012,28,18,64.29,2.61,2.0,14.29
Madison Square Garden,2012,29,20,68.97,3.14,2.14,18.97
BC Place,2013,1,0,0.0,2.0,4.0,-50.0
Yankee Stadium,2013,2,0,0.0,2.0,4.5,-50.0
TD Garden,2010,53,32,60.38,3.17,2.11,10.38
Bridgestone Arena,2010,47,26,55.32,2.81,2.36,5.32
Rexall Place,2010,41,13,31.71,2.22,3.05,-18.29
Nassau Coliseum,2010,41,17,41.46,3.22,3.12,-8.54
Wells Fargo Center,2011,46,25,54.35,3.48,3.13,4.35
CONSOL Energy Center,2010,44,26,59.09,2.82,2.39,9.09
Ericsson Globe,2010,2,0,0.0,2.0,3.0,-50.0
PNC Arena,2011,5,3,60.0,2.0,2.2,10.0
American Airlines Center,2009,41,23,56.1,3.15,2.9,6.1
Pengrowth Saddledome,2009,41,20,48.78,2.32,2.39,-1.22
Hartwall Areena,2009,2,0,0.0,1.5,4.0,-50.0
HP Pavilion at San Jose,2008,41,32,78.05,3.44,2.2,28.05
Prudential Center,2008,41,28,68.29,3.34,2.39,18.29
Scottrade Center,2008,41,23,56.1,2.98,2.61,6.1
TD Banknorth Garden,2008,41,29,70.73,3.73,2.37,20.73
Scottrade Center,2007,41,20,48.78,2.61,2.34,-1.22
Prudential Center,2007,41,25,60.98,2.68,2.32,10.98
TD Banknorth Garden,2007,41,21,51.22,2.44,2.34,1.22
HP Pavilion at San Jose,2007,41,22,53.66,2.68,2.51,3.66
RBC Center,2006,41,21,51.22,3.12,3.2,1.22
Madison Square Garden,2006,41,21,51.22,3.1,2.61,1.22
Scotiabank Place,2006,41,25,60.98,3.56,2.44,10.98
Nassau Coliseum,2002,36,18,50.0,2.81,2.86,0.0
First Union Center,2002,33,21,63.64,2.64,1.82,13.64
RBC Center,2003,33,13,39.39,2.15,2.61,-10.61
Madison Square Garden,2003,38,13,34.21,2.71,3.11,-15.79
American Airlines Center,2005,41,28,68.29,3.27,2.63,18.29
Pengrowth Saddledome,2005,41,30,73.17,2.63,1.78,23.17
Gaylord Entertainment Center,2005,41,32,78.05,3.46,2.29,28.05
Savvis Center,2000,36,28,77.78,3.47,1.89,27.78
HSBC Arena,2000,38,26,68.42,2.97,2.16,18.42
Continental Airlines Arena,2001,37,22,59.46,2.76,2.11,9.46
General Motors Place,2001,36,23,63.89,3.56,2.47,13.89
Joe Louis Arena,2001,36,28,77.78,3.61,2.28,27.78
Philips Arena,2001,32,11,34.38,2.03,3.16,-15.62
National Car Rental Center,2001,38,11,28.95,2.24,3.16,-21.05
Rogers Arena                                                    ,2014,1,0,0.0,1.0,2.0,-50.0
Scotiabank Arena,2019,175,84,48.0,2.62,2.94,-2.0
Enterprise Center,2019,70,46,65.71,3.26,2.43,15.71
Prudential Center,2019,68,26,38.24,3.0,3.35,-11.76
NYCB Live/Nassau Coliseum,2019,48,26,54.17,3.21,2.92,4.17
SAP Center at San Jose,2019,72,34,47.22,2.89,3.06,-2.78
Canadian Tire Centre,2019,74,36,48.65,3.08,3.11,-1.35
Gila River Arena,2019,66,34,51.52,3.15,2.55,1.52
Falcon Stadium,2019,2,0,0.0,1.0,3.0,-50.0
TD Garden,2018,108,72,66.67,3.33,2.44,16.67
Bridgestone Arena,2018,88,52,59.09,2.91,2.5,9.09
Lincoln Financial Field,2018,2,2,100.0,4.0,3.0,50.0
